jed,vrsta,cas priprave [min],zahtevnost,kolicina,st. porcij,avtor,datum,leto
Mariniran piščanec,perutnina,240,3,"prsa enega piščanca, pol purana",,Bernarda85,23.2.2009,2009
Mesni zvitki z oreščki,svinjina,45,2,"kolikor zrezkov, tolik oseb",,katka lopatka,19.2.2009,2009
Njoki s pečenim piščancem,perutnina,30,2,,,katicka19,16.2.2009,2009
Piščančji polpeti,perutnina,45,2,za štiri osebe,,katicka19,16.2.2009,2009
Piščančji zrezki po moje,perutnina,30,2,,,jožek.orh,12.2.2009,2009
Meksikančki s peperonato,teletina,75,3,4 zvitki,,katka lopatka,11.2.2009,2009
Goveji zrezki v porovi omaki po Katjino,govedina,60,1,za 4 osebe,4,Katja D,10.2.2009,2009
Pikantne piščančje perutničke,perutnina,45,1,Za 4 osebe,4,sarabande,9.2.2009,2009
Mesni cmočki po Katjino,sesekljano meso,120,2,približno 70 majhnih cmočkov,,Katja D,9.2.2009,2009
Piščanec v rdečem vinu,perutnina,90,3,,,zmesnjavca,7.2.2009,2009
Puran v začimbni mešanici,perutnina,15,1,2 osebi,2,anamarija1,6.2.2009,2009
Mesna pogača – buča,sesekljano meso,75,3,4 buče premera 10 cm,,katka lopatka,31.1.2009,2009
Pita z mesom,ostalo,60,2,,,Lancy,27.1.2009,2009
Puranja rulada iz pečice,perutnina,180,3,za 2 ruladi,,Katja D,26.1.2009,2009
Jetrni zrezki,notranji deli,30,1,,,golubić,23.1.2009,2009
Gratinirane bučke,ostalo,30,2,3-4 osebe,4,antaja,22.1.2009,2009
Hamburger po Filadelfijsko,govedina,30,1,4 osebe,4,Vanja_v_ZDA,20.1.2009,2009
T-Bone Steak,svinjina,45,3,za 4 osebe,4,Mirko1953,1.7.2015,2015
Mortadelini zavitki,ostalo,45,2,4 osebe,4,Vrtejbenka,26.6.2015,2015
Mesne kroglice z zelenjavo,mešano meso,75,2,,,Mala_Smotka,18.6.2015,2015
Marinirane piščančje prsi v voku,perutnina,45,2,,,tipalkica1,15.6.2015,2015
Piščanec v beli omaki z njoki,perutnina,45,2,,,tipalkica1,10.6.2015,2015
Rozbif na žaru z mladim krompirjem in mešano zelenjavo,govedina,60,1,Za 4 osebe.,,sarabande,8.6.2015,2015
Goveja tagliata z gorgonzolinim maslom in špargljevo rižoto,govedina,45,3,,,DobroJem,5.6.2015,2015
Mesna štruca v vlečenem testu,sesekljano meso,120,1,,,mamamia,2.6.2015,2015
Jagnjetina s šparglji,drobnica,60,2,Za 4 osebe,4,Urko_,1.6.2015,2015
Perutničke z medom in zelenjavo iz voka,perutnina,45,2,Za 4 osebe,4,Vegeta_,16.5.2015,2015
Goveji vrat na žaru s testeninsko solato,govedina,240,3,,,NanaSem,15.5.2015,2015
Lazanja,sesekljano meso,90,3,Za 4 osebe,4,Vanillia,8.5.2015,2015
Piščanec z artičokami,perutnina,45,2,4 osebe,4,Vanja_v_ZDA,18.1.2009,2009
Piščančji file v curry omaki,perutnina,45,1,za štiri osebe,,mamamia,16.1.2009,2009
Piščančja prsa z brie sirom v gobovi skorjici,perutnina,45,2,2 osebi,2,katka lopatka,16.1.2009,2009
Enostavna musaka,sesekljano meso,75,2,3-4 osebe,4,maagnolia,14.1.2009,2009
Piščanec ala Oprah,perutnina,45,2,2,2,Vanja_v_ZDA,14.1.2009,2009
Piščančji paprikaš z vratovino,perutnina,45,2,4 osebe,4,Vanja_v_ZDA,13.1.2009,2009
Kraljevski piščanec,perutnina,45,2,2 osebi,2,tejčika,9.1.2009,2009
Svinjska ribica v slastnem ovoju,svinjina,60,3,,,cukrbejbike,9.1.2009,2009
Slastna svinjina z dilom,svinjina,30,2,,,deville,2.1.2009,2009
Srbska sarma iz kislega zelja,mešano meso,120,3,8-10 oseb,9,fritz1,2.1.2009,2009
Mrzel piščanec nadevan s francosko solato,perutnina,90,3,en piščanec,,katka lopatka,31.12.2008,2008
Piščančji ragu z gobami,perutnina,90,2,Vedno premalo :-)),,Vanja_v_ZDA,29.12.2008,2008
Rulade iz svinjskega mesa,svinjina,75,3,2 osebi,2,teycikasi,27.12.2008,2008
Mesna štruca,sesekljano meso,60,3,,,fritz1,24.12.2008,2008
Gnjatni hrustavci,ostalo,30,2,Za 10 oseb,10,Roki_The_Kuhar,23.12.2008,2008
Svinjski zrezek s curry omako in pečenim krompirjem,svinjina,45,2,2 osebi,2,teycikasi,23.12.2008,2008
Mesni kroketi,govedina,45,2,,,terremotto,22.12.2008,2008
Piščanec z gobami,perutnina,75,3,,,fritz1,22.12.2008,2008
Pijani piščanec,perutnina,60,3,,,fritz1,19.12.2008,2008
Piščančja solata,perutnina,45,1,,,Vanja_v_ZDA,17.12.2008,2008
Dušena goveja rebra,govedina,120,2,,,Vanja_v_ZDA,10.12.2008,2008
Piščančja solata,perutnina,30,3,8 oseb,8,Migla,9.12.2008,2008
Mesni zvitki,sesekljano meso,90,3,6 oseb,6,morska medvedka,4.12.2008,2008
Piščančja bedrca v listnatem testu,perutnina,60,3,2 osebi,2,katka lopatka,4.12.2008,2008
Nikin zrezek,govedina,60,2,,,Kanja13,1.12.2008,2008
Piščanec v omaki s kuskusovo prilogo,perutnina,45,2,,,Andreia,29.11.2008,2008
Piščanec z jajčevci,perutnina,45,2,2,2,mocarelica1983,27.11.2008,2008
Paprikaš s stročjim fižolom,govedina,75,2,,,Lejla13,26.11.2008,2008
Narastek MM,sesekljano meso,90,2,5 oseb,5,morska medvedka,24.11.2008,2008
Polnjeni mošnjički,sesekljano meso,45,2,,,neny111,21.11.2008,2008
Vratovina s prilogo iz pečice,svinjina,120,2,5 oseb,5,vanjatajnsek,21.11.2008,2008
Piščančja prsa z žajbljem,perutnina,45,2,,,golubić,19.11.2008,2008
Svinjska rolada,svinjina,240,3,,,Ninja24,18.11.2008,2008
Kavbojski fižol,ostalo,60,1,,,Sheila,16.11.2008,2008
Piščanec na kruhovi podlagi po pekovsko,perutnina,60,1,,,receptor,10.11.2008,2008
Ekspresni kaneloni,govedina,30,1,,,anamarija1,3.11.2008,2008
"Piščanec, polnjen z rižem in chorizom",perutnina,90,3,4 osebe,4,fresh,27.10.2008,2008
Ramstek s sivko na bučnem pireju,govedina,45,3,2 osebi,2,fresh,27.10.2008,2008
Guvarlakia moje sosede Rule,govedina,75,2,,,tjassao,26.10.2008,2008
Divjačinski ragu,divjačina,120,2,,,morska medvedka,25.10.2008,2008
Lazanja po moje,ostalo,120,3,8 oseb,8,sweets,24.10.2008,2008
Telečji zrezki v poprovi omaki,teletina,60,2,4 osebe,4,morska medvedka,15.10.2008,2008
Goveje roladice,govedina,60,2,4,4,Lejla13,14.10.2008,2008
Telečji orešček z zelenjavnim rižem,teletina,120,1,6 oseb,6,anamarija1,12.10.2008,2008
Mortadelni zavitki,ostalo,45,2,,,sweets,10.10.2008,2008
"""Olimpijski"" prigrizki",sesekljano meso,60,3,2 osebi,2,katka lopatka,2.10.2008,2008
Goveje rulade,govedina,180,4,4 do 6 oseb,6,sony52,2.10.2008,2008
Tatarski biftek,govedina,15,2,,,domani,1.10.2008,2008
Mleto meso malo drugače,sesekljano meso,60,2,za 4 osebe,4,NaturensGalleri,27.9.2008,2008
Mortadelini paketki,ostalo,15,3,8 rezin mortadele,,katka lopatka,26.9.2008,2008
Pol - Ham,mešano meso,60,1,6 oseb,6,anamarija1,26.9.2008,2008
Piščančji file v smetanovi omaki,perutnina,15,2,za 4 osebe,4,Migla,29.8.2008,2008
Poletni mix,perutnina,45,1,,,sweets,27.8.2008,2008
Mesne ladjice,sesekljano meso,90,4,,,KristinaG,14.8.2008,2008
Kroglice presenečenja,perutnina,30,3,,,tanjaj,9.8.2008,2008
Piščančja papica,perutnina,15,1,4 velike osebe,,dark_lauron,6.8.2008,2008
Meso na Verin način,perutnina,45,2,,,barbo,4.8.2008,2008
Peteršiljevi zrezki,govedina,60,1,,,1000AN,31.7.2008,2008
Polnjene paprike,ostalo,120,2,za 5-6 paprik,,Taia,20.7.2008,2008
Piščanec s Havajev,perutnina,45,2,za 2 osebi,2,KristinaG,20.7.2008,2008
Polnjeni piščančji zvitki,perutnina,30,2,4 osebe,4,andrejka,17.7.2008,2008
Paella,perutnina,60,1,družinska porcija,,kolerabasta_panda,15.7.2008,2008
Pabellon criollo,govedina,60,2,,,gringa,10.7.2008,2008
Goveje rolade  ,govedina,90,2,4 osebe,4,morska medvedka,3.7.2008,2008
Ronaldovi piščančji zvitki s pistacijo,perutnina,75,2,,,izabel,3.7.2008,2008
Skošeno meso,govedina,45,2,za štiri osebe,,daga,1.7.2008,2008
Kotleti z zelenjavo,svinjina,90,1,za 4 osebe,4,dicna,18.6.2008,2008
Košutini zrezkii,divjačina,120,2,4 osebe,4,morska medvedka,16.6.2008,2008
Piščančji golaž s smetano ,perutnina,90,2,,,morska medvedka,4.6.2008,2008
Piščančja prsa ,perutnina,75,2,,,breskva,29.5.2008,2008
Tropske mesne kroglice,mešano meso,30,2,,,gringa,29.5.2008,2008
Puranji zrezki v gobovi omaki,perutnina,45,2,Za 4 osebe,4,lunastar,23.5.2008,2008
Piščanec v janeževi omaki,perutnina,30,1,,,rukula,22.5.2008,2008
Polpeti drugače,perutnina,30,2,,,gringa,22.5.2008,2008
Nadev za piščanca,perutnina,300,1,,,gringa,20.5.2008,2008
Malteški zajec,divjačina,75,2,odvisno od lakote,,fasty1,20.5.2008,2008
Piščančje prsi v teriyaki omaki s kuhano zelenjavo,perutnina,30,1,za 2 osebi,2,sarabande,8.5.2008,2008
"Piščanec ""Sezam, odpri se""",perutnina,60,3,za 4 osebe,4,katka lopatka,25.4.2008,2008
Piščanec po grško,perutnina,45,2,,,lmiran,23.4.2008,2008
Kmečki upor,ostalo,60,3,,,niagara,22.4.2008,2008
Puran v sirovi omaki,perutnina,30,2,,,Miri Piri,21.4.2008,2008
Domača ponev,perutnina,60,2,za 4 osebe,4,ania,18.4.2008,2008
"Govedina z beluši "" ala fasulas""",govedina,45,2,4 osebe,4,fasulas,16.4.2008,2008
Nekako poseben piščanec,perutnina,15,1,2 osebi,2,dark_lauron,13.4.2008,2008
Grška musaka,ostalo,90,2,4 osebe,4,Tim,13.4.2008,2008
Kotleti v mešanih okusih,svinjina,90,2,,,Chupi,12.4.2008,2008
Pita z mesom in krompirjem,sesekljano meso,45,3,,,Zdenkica,12.4.2008,2008
Polnjene paprike malo drugače,sesekljano meso,90,2,8 paprik,,morska medvedka,11.4.2008,2008
Jagnjetina s krompirjem v pečici,drobnica,90,3,za 4  osebe - dobre jedce,,mamaF,5.4.2008,2008
Piščančji file v zeliščni skorjici,perutnina,30,1,za 1 osebo,1,Anomis,5.4.2008,2008
Piščančja pogača,perutnina,60,3,Za 4 osebe,4,TinaTina,3.4.2008,2008
Račje prsi z ajdovo kašo iz moje bodoče betule,perutnina,240,3,,,proxima,2.4.2008,2008
Prata,ostalo,180,3,za 8 oseb,8,linolina,31.3.2008,2008
Govedina s prilogo v loncu,govedina,180,3,za 4 osebe,4,CrazyDaisy,27.3.2008,2008
Polnjene paprike,mešano meso,120,3,4 - 5 odraslih oseb,,drejcek,26.3.2008,2008
Jetrca,notranji deli,15,1,3 osebe,3,DUŠANKA,25.3.2008,2008
Piščančja rižota z zelenjavo,perutnina,30,1,,,Mlada_kuharica,21.3.2008,2008
Naravni zrezki s tunino ,teletina,15,1,,,kenkoslav,20.3.2008,2008
Mesna rolada s palačinkami,svinjina,120,3,,,katka lopatka,20.3.2008,2008
Pašteta s pinjolami,ostalo,45,2,,,katka lopatka,17.3.2008,2008
Burgundska golaževa juha,govedina,240,2,6,6,frina,16.3.2008,2008
Čuftice v omaki iz jajčevcev,sesekljano meso,60,1,5 oeeb,,Sweetie,16.3.2008,2008
Pražen riž z ostanki in jajci  v woku,ostalo,30,2,za 2 dobra jedca,,bober,15.3.2008,2008
Kljukuša,perutnina,75,2,4 osebe,4,hamza,12.3.2008,2008
Mesne polpete,mešano meso,30,1,15 kosov - za 4 osebe,4,liliana,12.3.2008,2008
Slavnostna mesna štruca,govedina,90,2,za 5 oseb,5,frina,11.3.2008,2008
Kotopoulo stifado,perutnina,45,2,za 3-4 osebe,4,,7.3.2008,2008
Piščanec v temni omaki,perutnina,60,2,,,buhteljcek,6.3.2008,2008
Rajžlc,teletina,120,3,,,katti,1.3.2008,2008
Telečje meso na mrzlo (it. Vitello tonnato),govedina,45,3,po lastni želji,,krokodilček,28.2.2008,2008
Piščanec s paradižnikom,perutnina,240,2,6 oseb,6,Vendelina jr.,27.2.2008,2008
Piščančja prsa z gobicami,perutnina,15,1,,,esyka,22.2.2008,2008
Piščančja bedrca s krompirjem v pečici,perutnina,75,1,,,Lejla13,22.2.2008,2008
Peposo,govedina,180,2,za 4 osebe,4,boonkoo,21.2.2008,2008
Tortilja s piščancem in mozarello,perutnina,15,1,1 ali 2 osebi,2,*zoja*,19.2.2008,2008
Piščančja prsa z omako,perutnina,60,2,2 osebi,2,katti,18.2.2008,2008
Tatarski biftek iz mamičine kuhinje,govedina,15,2,,,hamza,14.2.2008,2008
Piščančje prsi s parmezanom,perutnina,30,2,za 4 osebe,4,Petika1,14.2.2008,2008
Kislo zelje s piščancem na način moje mame,perutnina,120,1,4 osebe,4,duskamb,14.2.2008,2008
Pražene hrenovke s karijem in bučkami,ostalo,15,1,Za 2 osebi.,,sarabande,7.2.2008,2008
Svinjski kare z zelišči,svinjina,30,1,za ptiri osebe,,mamamia,6.5.2015,2015
Piščančji tunel ,perutnina,75,2,5 oseb,5,14moniii,21.4.2015,2015
Topla krompirjevo hrenova omaka s hrenovko,ostalo,75,1,približno 6 oseb,6,Tanja01,16.4.2015,2015
Masleni piščanec s kuskusom,perutnina,30,2,Za 2 osebi,2,Mme,16.4.2015,2015
Pečeno kosilo po moje,perutnina,90,4,,,Maja92,7.4.2015,2015
Sočen in hrustljav jagenček v pečici,drobnica,240,2,,,RahXephon1,6.4.2015,2015
Pilav s svinjino in pečenim česnom,svinjina,90,1,Za 4 do 6 oseb.,,sarabande,2.4.2015,2015
Goveji zrezki v omaki iz koreničja,govedina,90,2,za 6 oseb,6,mamamia,31.3.2015,2015
Telečji navihančki,ostalo,60,3,7 navihančkov,,vitta555,24.3.2015,2015
Piščanec v kokosu,perutnina,30,2,2 osebi,2,nivkapivka,15.3.2015,2015
Velikonočna šunka s kostjo v krušnem testu,ostalo,240,4,,,Marina_M,6.3.2015,2015
Bakalca,govedina,120,3,Za 4 osebe,4,Barbara_M,27.2.2015,2015
Goveji vampi,notranji deli,120,2,,,Lejla13,4.2.2008,2008
Šunkini zvitki,ostalo,30,1,,,Lejla13,3.2.2008,2008
Piščančji golaž,perutnina,60,2,za 4 osebe,4,vere11,3.2.2008,2008
Dušena govedina v pečici,govedina,240,3,Za 10 oseb.,,sarabande,3.2.2008,2008
Pikantni zrezki s porovim krompirjem,svinjina,75,2,Za 6 oseb.,,sarabande,1.2.2008,2008
Goveji rep v burgundski omaki,govedina,240,3,Za 6 do 8 oseb,8,sarabande,29.1.2008,2008
Hrustljavo zapečen polnjen piščanec,perutnina,180,4,,,uros 99,26.1.2008,2008
Piščanec s porom,perutnina,30,2,,,uros 99,26.1.2008,2008
Govedina po moje,govedina,90,2,,,frajtonarica,23.1.2008,2008
Puranji trakci s smetano,perutnina,45,2,za 4 osebe,4,morska medvedka,20.1.2008,2008
Golaž iz piščančjih želodčkov,ostalo,120,2,,,chappy,18.1.2008,2008
Parmezanova pečenka,svinjina,60,1,Za 4 do 6 oseb,6,ksusha,14.1.2008,2008
Polnjeni zrezki,svinjina,45,3,1 oseba,1,chappy,13.1.2008,2008
Piščančji zrezki v omaki iz gorčice in medu,perutnina,30,1,2,2,piščanec,11.1.2008,2008
Dami,ostalo,15,2,4,4,*dami*,11.1.2008,2008
Dežela narezka,ostalo,45,3,,,katka lopatka,10.1.2008,2008
Ciganska pečenka,svinjina,120,3,6,6,yulchi,5.1.2008,2008
Moja Štefana,sesekljano meso,75,2,12 kosov,12,tajka,5.1.2008,2008
Jelenji zrezki s konjakom,divjačina,90,3,za šest oseb,,mamamia,25.12.2007,2007
Kokosov piščančji curry,perutnina,240,4,4 osebe,4,Marinka,16.12.2007,2007
Piščančji curry,perutnina,120,4,4 osebe,4,Marinka,14.12.2007,2007
Piščanec na žaru po indijsko,perutnina,240,2,4 osebe,4,Marinka,14.12.2007,2007
Bengalski curry,perutnina,75,3,4 osebe,4,Marinka,14.12.2007,2007
Jagnječji curry z jogurtom,drobnica,60,2,4 osebe,4,Marinka,14.12.2007,2007
Jagnječji curry,drobnica,90,2,4 osebe,4,Marinka,13.12.2007,2007
Pakistanska duševa govedina,govedina,120,3,4 osebe,4,Marinka,13.12.2007,2007
"Kunec v omaki z mladim grahom, šampinjoni in pinjolami",divjačina,120,3,za 8 oseb,8,sarabande,12.12.2007,2007
Jagnjetina z redkvijo po nepalsko,drobnica,120,4,za 4 osebe,4,Marinka,7.12.2007,2007
Z jagnjetino polnjeno zelje,drobnica,120,5,za 4 osebe,4,Marinka,6.12.2007,2007
Kaneloni na drugačen način,mešano meso,60,2,,,vanilija76,5.12.2007,2007
Kunec ali zajec v smetanovo - čebulni omaki,ostalo,60,2,za 4 osebe,4,DUŠANKA,3.12.2007,2007
Obara z gobicami,mešano meso,60,3,,,bi,29.11.2007,2007
Kljukuša s piščancem,perutnina,90,1,za 4 osebe,4,MissLady,29.11.2007,2007
"Bučke, polnjene iz pečice",ostalo,45,2,za 2 osebi,2,piki123,28.11.2007,2007
Piščanec na hitro,perutnina,15,1,Za 2 osebi,2,Equitana,27.11.2007,2007
Piščanec po mediteransko,perutnina,75,1,za 4 osebe,4,intv33,21.11.2007,2007
Hitre hrenovke zavite v palačinkasto odejo,ostalo,15,1,"5 kosov (3 za fanta, 2 za punco)",,Punki_V_Kuhni,15.11.2007,2007
Piščanec v česnovi omaki,perutnina,45,2,za 4 osebe,4,stasafrank,14.11.2007,2007
Polnjene paprike s perutnino,ostalo,75,2,5 oseb,5,galja,13.11.2007,2007
Medeni piščanec,perutnina,120,2,za 4 osebe,4,a1,7.11.2007,2007
Pečeni njoki z zrezki,perutnina,45,2,za 4 osebe,4,a1,5.11.2007,2007
Puranje roladice ,perutnina,30,1,2 osebi,2,anamarija1,29.10.2007,2007
Sočna pečenka,svinjina,90,3,za 4 lačne,,pegasti,27.10.2007,2007
Piščančji paprikaš,perutnina,60,2,za 6 oseb,6,sarabande,26.10.2007,2007
Svinjski file s suhimi slivami,svinjina,60,2,3-4,4,boonkoo,25.10.2007,2007
Sarma na način mame Vide,mešano meso,180,4,4 - 6 oseb,6,trezika,23.10.2007,2007
Svinjska rebra s kislim zeljem,svinjina,90,2,,,Jassy,21.10.2007,2007
Hrenovke v čebulni omaki,ostalo,45,2,,,nesty,20.10.2007,2007
Musaka z mesom,mešano meso,60,2,,,nesty,20.10.2007,2007
Zrezki na moj način,svinjina,45,2,5 oseb,5,Finka,15.10.2007,2007
Piščančji paprikaš,perutnina,60,2,,,DKM,11.10.2007,2007
Puranje roladice v sirovi omaki,perutnina,45,3,za 4 osebe,4,a1,10.10.2007,2007
Mesna kruhova rolada,sesekljano meso,120,3,2 stručki,,anamarija1,9.10.2007,2007
Pleskavica,mešano meso,60,1,,,vesn@,2.10.2007,2007
Jesenski lonec,notranji deli,90,2,Za 8-10 oseb,9,jovita,29.9.2007,2007
Polnjene culice,mešano meso,120,1,,,_Lanchy_,27.9.2007,2007
Dobro zapečen piščanec,perutnina,60,3,,,kordelina,26.9.2007,2007
Zrezki v ekonom loncu,svinjina,30,1,4 osebe,4,anamarija1,18.9.2007,2007
Souvlaki a la BogoT,perutnina,90,3,za 4 osebe,4,BogoT,18.9.2007,2007
Prepelice v obari,divjačina,90,2,Za 4-6 oseb,5,ati zlati,17.9.2007,2007
Piščančje prsi s papriko in mladim stročjim fižolom,perutnina,45,2,Za 4 osebe,4,sarabande,16.9.2007,2007
Golaž iz mesa iz juhe,govedina,45,2,4 osebe,4,ligojna,15.9.2007,2007
Paprika kaneloni,ostalo,60,3,,,gligor,14.9.2007,2007
Hamburger na solati,sesekljano meso,30,1,1,1,J.J.,12.9.2007,2007
Zrezki z ananasom,perutnina,45,3,4 osebe,4,Bernarda85,8.9.2007,2007
Musaka iz jajčevcev,sesekljano meso,45,2,Za 4 osebe,4,SLONCICA,3.9.2007,2007
V pečici pečena prsa s porom,perutnina,60,2,,,_Lanchy_,29.8.2007,2007
Kus kus s piščancem,perutnina,30,1,za 2 lačna,,Mikki,28.8.2007,2007
Malo za hec  zrezki,svinjina,15,1,4 osebe,4,anamarija1,20.8.2007,2007
Goveji golaž,govedina,180,2,,,aviva,17.8.2007,2007
Bržola po toskansko,govedina,120,2,4,4,Macky,12.8.2007,2007
Puranji zrezki v zelenjavni omaki,perutnina,45,2,za 4 osebe,4,a1,8.8.2007,2007
Svinjina z rdečim fižolom,svinjina,60,3,4-5 oseb,5,rožca,8.8.2007,2007
Puranji zrezki ala katti,perutnina,60,2,za 3 osebe,3,katti,2.8.2007,2007
Pečeni piščanec v dijonski marinadi,perutnina,60,2,za 4 osebe,4,sarabande,30.7.2007,2007
Ragu iz mešanega mesa,sesekljano meso,60,1,,,DUŠANKA,23.7.2007,2007
Goveji golaž,govedina,180,3,,,Taia,12.7.2007,2007
Piščančji trakci v smetanovi omaki,perutnina,30,2,za 2 osebi,2,a1,3.7.2007,2007
Piščančji zrezki v omaki,mešano meso,75,2,za 2 osebi,2,npovod1,26.6.2007,2007
Mesna lazanja po mehiško,ostalo,60,1,Za 9 oseb,9,sarabande,15.6.2007,2007
Sticky fingers,perutnina,15,2,,,anya_raikkonen,7.6.2007,2007
Nadevana telečja prsa Damijanos,teletina,180,3,za 6 oseb,6,Damijanos,17.5.2007,2007
Perutninska pena v kraškem pršutu z jurčkovim nadevom,perutnina,60,3,12 oseb,12,racman,10.5.2007,2007
Gratiniran puran z gobami,perutnina,120,3,za 4 osebe,4,fr34k,8.5.2007,2007
Mešano meso izpod peke,ostalo,120,2,za deset oseb,10,mamamia,5.5.2007,2007
Ocvrti puranji zrezki s pistacijo,ostalo,30,2,Za 4 osebe,4,sonic,22.4.2007,2007
Teletina z rožmarinom in česnom,teletina,120,1,za šest oseb,,mamamia,21.4.2007,2007
Svinjska ribica v ananasovi omaki,svinjina,120,2,,,Kristalka,20.4.2007,2007
Pečen piščanec po moje,perutnina,120,2,za 4 - 6 oseb,6,Paulina,10.4.2007,2007
Krompirjev narastek,sesekljano meso,75,2,5 oseb,5,anamarija1,4.4.2007,2007
Jed tete Mace ,perutnina,120,2,6 oseb,6,PAŠTETKA,3.4.2007,2007
Zarebrnice z jabolki in hrenom,svinjina,30,2,4 osebe,4,lotka58,31.3.2007,2007
Puranja galantina,perutnina,,3,za 2 osebi,2,sarabande,24.3.2007,2007
Piščanec z jurčki in bučkami,perutnina,,3,,,lmiran,20.3.2007,2007
Boranija (stročji fižol) s piščancem na hitro,perutnina,75,1,za 2 lačna,,KatkaD,12.3.2007,2007
Telečji zrezki nadevani z zelenjavo,teletina,,3,za 3 osebe,3,sarabande,11.3.2007,2007
"Segedin ""po očkovo""",mešano meso,,3,za 7 oseb,7,bi,7.3.2007,2007
Meso na hitro,govedina,,1,za 4 osebe,4,Tatjana,6.3.2007,2007
Očesca,sesekljano meso,,1,,,kathy74,4.3.2007,2007
Lazanja po naše,ostalo,,3,4,4,bibica,1.3.2007,2007
Bučke in šampinjoni s perutnino,perutnina,,2,za 4 osebe,4,rozyca,28.2.2007,2007
Piščanec v smetanovi omaki,perutnina,,2,4 osebe,4,Becky,27.2.2007,2007
Dušena piščančja bedra,perutnina,,1,,,kathy74,26.2.2007,2007
Bele klobase,koline,240,3,,,anamarija1,25.2.2007,2007
Domače krvavice,koline,240,3,50 krvavic,,anamarija1,24.2.2007,2007
Začinjeni kare,svinjina,45,2,,,dascha,18.2.2007,2007
Pečen piščanec s krompirjem,perutnina,,1,3 - 4,,luli,13.2.2007,2007
Svinjska vratovina v paradižnikovi omaki,svinjina,,2,za 4 osebe,4,sarabande,13.2.2007,2007
Puran v kremni omaki,perutnina,30,1,4 osebe,4,anamarija1,11.2.2007,2007
Prašički,ostalo,30,1,za 4 osebe,4,karnak,9.2.2007,2007
Ragu iz jagnetine,drobnica,,1,,,brižit,7.2.2007,2007
Puranji paprikaš,perutnina,,1,4,4,galja,5.2.2007,2007
Goveji zavitki,govedina,,2,,,geo,2.2.2007,2007
Piščanec na rižu s suhimi marelicami,perutnina,,2,za šest oseb,,mamamia,2.2.2007,2007
Jagnjetina z medom in suhimi slivami,drobnica,,3,za štiri osebe,,mamamia,2.2.2007,2007
Hitra musaka,sesekljano meso,30,1,4 osebe,4,anamarija1,30.1.2007,2007
Zrezek s poprom,govedina,,2,za 4 osebe,4,sarabande,30.1.2007,2007
Meso v pečici malo drugače,svinjina,75,1,4 osebe,4,anamarija1,28.1.2007,2007
Jagnje v zelenjavi in sadju,drobnica,,3,8,8,Slovenica1,28.1.2007,2007
Divjačina pod peko s tartufi,divjačina,,3,8 oseb,8,Slovenica1,28.1.2007,2007
"Kašnice, kašne klobase",svinjina,60,2,,,fizik,24.2.2015,2015
Lovska ali stefani pečenka po moje,mešano meso,90,1,3 osebe,3,mopsika,14.2.2015,2015
Pečena svinjska rebrca s šampanjcem,svinjina,90,2,4 osebe,4,T as Tasty,3.2.2015,2015
Pražena telečja jetra s krompirjem po Zadarsko,notranji deli,45,2,4 osebe,4,Levinjav,17.1.2015,2015
Kunec z mladim grahom in šampinjoni,ostalo,90,3,4-6 oseb,5,Levinjav,16.1.2015,2015
Polpeti na moj način,mešano meso,60,2,4,4,smajo,7.1.2015,2015
Krvavice z zapečenim kislim zeljem,svinjina,120,1,Za 2 do 4 osebe.,,sarabande,2.1.2015,2015
Puranji zrezki v smetanovi omaki,perutnina,30,2,Za 4 osebe,4,BlizuMesta,26.12.2014,2014
Pečene curry perutničke,perutnina,60,1,Za 2 osebi,2,T as Tasty,17.12.2014,2014
Mesne kroglice,sesekljano meso,60,2,za 2 osebi,2,BlurredLimes,12.12.2014,2014
Perutninski narastek,sesekljano meso,45,2,4 osebe,4,anamarija1,7.12.2014,2014
Ekspresna pica brez vzhajanja,ostalo,15,1,4 osebe,4,teyc,6.12.2014,2014
Dalmatinska pašticada,govedina,240,3,za 10 oseb,10,sarabande,27.1.2007,2007
Piščančje prsi v kumarični omaki,perutnina,45,2,za 6 oseb,6,~witch~fire,27.1.2007,2007
Svinjske zarebrnice s parmezanom ,svinjina,30,1,4,4,mirca,27.1.2007,2007
Piščanec v čebulni omaki,perutnina,30,1,4-6 oseb,5,anamarija1,26.1.2007,2007
Pečen kotlet s krompirjem,svinjina,,3,,,mayam,25.1.2007,2007
Beljakovi zrezki,ostalo,,2,4 osebe,4,pehtranka,25.1.2007,2007
Piščančji zrezek z arašidi,perutnina,,2,4.osebe,,peterček,25.1.2007,2007
Piščančja obara - Ajmoht,perutnina,,2,,,Levinjav,25.1.2007,2007
Divjačinski golaž,divjačina,,3,10,10,petruša,21.1.2007,2007
Zajec z jabolki,ostalo,,2,za 4 osebe,4,runo01,20.1.2007,2007
Divjačinski golaž alla Hubertus,divjačina,,2,,,Hubertus,16.1.2007,2007
Ocvrte pomaranče (mleto meso),sesekljano meso,,1,,,Tadeja L,16.1.2007,2007
Govedina na žaru po korejsko,govedina,,3,4 osebe,4,Marinka,9.1.2007,2007
Piščanec v sojini omaki po korejsko,perutnina,,2,4  osebe,,Marinka,8.1.2007,2007
Večbarvna mesna rolada,sesekljano meso,120,2,4 osebe,4,frina,5.1.2007,2007
Dunajski zrezki  s sirom in slanino,svinjina,,1,,,petra.petra,3.1.2007,2007
Patata con pollo - najboljši,perutnina,,1,,,silky,2.1.2007,2007
